// 色名と16進数RGBの対応表です。
sandybrown	f4a460	サンディブラウン	砂色の茶
seagreen	2e8b57	シーグリーン	海緑色
seashell	fff5ee	シーシェル	海の貝殻色
sienna	a0522d	シエンナ	シエンナ土の色
silver	c0c0c0	シルバー	銀色
skyblue	87ceeb	スカイブルー	空色
slateblue	6a5acd	スレートブルー	石がわらの青
slategray	708090	スレートグレイ	石板の灰色
snow	fffafa	スノウ	雪色
springgreen	00ff7f	スプリンググリーン	春の緑
steelblue	4682b4	スチールブルー	鋼鉄の青
tan	d2b48c	タン	日焼け色
teal	008080	ティール	コガモの首の青緑色
thistle	d8bfd8	シスル	アザミ色
tomato	ff6347	トメートゥ	トマト色
turquoise	40e0d0	ターコイズ	トルコ石の青緑色
violet	ee82ee	バイオレット	スミレ色
wheat	f5deb3	フィート	小麦色
white	ffffff	ホワイト	白
whitesmoke	f5f5f5	ホワイトスモーク	白い煙色
yellow	ffff00	イエロー	黄色
yellowgreen	9acd32	イエローグリーン	黄緑
